title,location,size,selling price
4 Bed Townhouse with En Suite at Balozi,"balozi, Muthaiga",4 BEDROOM ALL EN-SUITE TOWNHOUSE IN MUTHAIGA SI...,"KSh 85,000,000"
4 Bed House in Kiambu Road,Kiambu Road,"3,4 and 5 Bedroom Townhouses in a Gated Communi...","KSh 32,500,000"
5 Bed House with En Suite in Gigiri,"Gigiri, Westlands",Gigiri : 5 bedroom Spacious Double Storey Mansi...,Price not communicated
5 Bed House in Langata,Langata,5 bedroom townhouse for sale in Langata,"KSh 29,000,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",4 Bedroom Plus Dsq Townhouse For Sale in Loresh...,"KSh 35,000,000"
4 Bed House with En Suite in Vipingo,"vipingo, Vipingo","4 bedroom mansion in a shared compound on sale,...","KSh 30,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,New 4 Bedroomed Town Houses For Sale Near Muthi...,"KSh 26,500,000"
5 Bed Villa with En Suite at Muthangari,"Muthangari, Westlands Area, Westlands",5 BEDROOM VILLA FOR SALE IN WESTLANDS,"KSh 45,000,000"
7 Bed House at Nairobi,"Kanjata road, Lavington, Nairobi","7 Bed house on 0.77 acre, Kanjata Road, Lavingt...","KSh 150,000,000"
5 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",5 Bedroom Maisonette +SQ on 1/8 acre in Nyali.,"KSh 40,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Lavington homely executive 4bedrooms plus staf...,"KSh 68,000,000"
4 Bed House with Garden at Runda Evergreen,"Runda Evergreen, Runda, Westlands",4 bedroom all ensuite plus dsq house for sale,"KSh 100,000,000"
5 Bed Villa in Kitisuru,"Kitisuru, Westlands",5 Bedroom bungalow all en-suite for sale,"KSh 120,000,000"
5 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands",5 bedroom Home on 1acre,"KSh 190,000,000"
4 Bed House with Swimming Pool in Kileleshwa,Kileleshwa,3 bedroom house for sale in Kileleshwa (Kenya),"KSh 32,000,000"
4 Bed Townhouse with En Suite at Thika Greens Estate,"Thika Greens Estate, Thika",Thika – Next to Thika Greens Club House : 4 Be...,"KSh 40,000,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",A Spacious 4 Bedroom Townhouse For Sale in Lore...,"KSh 32,000,000"
4 Bed Townhouse in Kileleshwa,Kileleshwa,1 Acre Land with 6 Townhouses and 2 Big Houses...,"KSh 350,000,000"
2 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",FOR SALE 2 BEDROOMS BUNGALOW - NYALI,"KSh 25,000,000"
4 Bed Townhouse with En Suite in Runda,"Runda, Westlands",4bedroom plus 2 Dsq Townhouse for sale @80mill...,"KSh 80,000,000"
3 Bed House with En Suite at Kangundo Road,"Malaa town, Kangundo road, Malaa, Kamulu Joska Malaa",VINEYARD GARDENS IN MALAA,"KSh 5,750,000"
3 Bed Townhouse with En Suite in Shanzu,Shanzu,3 BEDROOMS EXECUTIVE TOWNHOUSE - SHANZU,"KSh 35,000,000"
5 Bed House with En Suite at Miotoni,"Miotoni, Karen",5 Bedrooms Contemporary Home for Sale (Price on...,Price not communicated
5 Bed House with En Suite at Karen,"Karen rd Nairobi, Karen",Charming Five Bedroom Villa For Sale in Karen.,"KSh 110,000,000"
4 Bed House with En Suite at Academy Road,"Academy road, Karen",Beautiful four bedroom house,"KSh 55,000,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",Kitisuru Spacious and Modern 5 Bedroom Mansion...,"KSh 85,000,000"
4 Bed House with En Suite in Komarock,Komarock,Maisonette for Sale in Komarock,"KSh 14,000,000"
5 Bed Townhouse with En Suite at Karen,"karen, Karen",LUXURIOUS 5 BEDROOMS HOUSE SITTING ON 1/2 AN AC...,"KSh 65,000,000"
5 Bed House with En Suite at Langata South Road,"O, Langata south road, Karen",5 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,"KSh 95,000,000"
6 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Six bedrooms plus sq runda for sale,"KSh 250,000,000"
5 Bed Villa with En Suite in Ruiru,Ruiru,4 BR all ensuite+DSQ+Study room selling at Ruir...,"KSh 28,500,000"
3 Bed Villa with En Suite at La-Marina Mtwapa,"Mtwapa, La-marina Mtwapa",Resort Style villa on sale.,"KSh 40,000,000"
5 Bed House with En Suite at Redhill Road,"889, Redhill Road, Nyari, Westlands",Sandwiched between built homes,"KSh 150,000,000"
4 Bed Villa with En Suite in Kiambu Road,Kiambu Road,4 Bedroom Villa for Sale along Kiambu Road,"KSh 30,000,000"
7 Bed House in Karen,Karen,Mansion with 7 Bedroom Sitting on 0.75 Acres fo...,"KSh 97,000,000"
4 Bed House in Tigoni,"Tigoni, Limuru",4 bedroom house for sale in Tigoni,"KSh 17,500,000"
3 Bed House with En Suite in Kisumu,Kisumu,Upcoming Development,"KSh 18,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Lavington for sale a nice 4bedrooms all en-suit...,"KSh 75,000,000"
4 Bed House with Garden at Ruiru Town,"Mugutha kiganjo Road, Ruiru Town, Ruiru",4bedrooms Maisonette for Sale in Ruiru Mugutha,"KSh 13,500,000"
5 Bed House with En Suite at Runda Road,"67, Runda Road, Runda, Westlands",The house has the best of the best quality and...,"KSh 230,000,000"
4 Bed Townhouse with Garden in Kiambu Road,Kiambu Road,4 Bedroom Townhouse On Kiambu road,"KSh 24,500,000"
5 Bed House in Lavington,Lavington,A remarkaable 5 Bedroom house for sale in Lavin...,"KSh 64,000,000"
4 Bed House with En Suite at Epz,"EPZ, Kajiado County",4 Bedroom Mansion for sale in EPZ Estate,"KSh 10,500,000"
4 Bed Townhouse with En Suite at Jcc Church,"Jcc Church, Bamburi",FOR SALE || BAMBURI PALM VILLA || 4 BEDROOM ||E...,"KSh 11,950,000"
5 Bed House with En Suite at Rosslyn,"Rosslyn, Westlands",5 Bedroom All Ensuite House For Sale in Rossyln,"KSh 90,000,000"
5 Bed House with En Suite in Lavington,Lavington,5 BEDROOMS TOWNHOUSE FOR SALE IN LAVINGTON.,"KSh 55,000,000"
7 Bed Townhouse with En Suite in Runda,"Runda, Westlands",Ambassadorial 7 Bedroom all En-suite Townhouse.,"KSh 140,000,000"
4 Bed House with En Suite at Beach Road,"Beach road, Nyali Area, Nyali",4 BEDROOM TOWNHOUSE IN NYALI MOMBASA NEAR THE B...,"KSh 45,000,000"
4 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",BEAUTIFUL 4 BEDROOM MAISONETTE FOR SALE IN NYAL...,"KSh 35,000,000"
3 Bed House with En Suite at Juja Town,"Juja Town, Thika Road",Serene and Modern 3 Bedroom Bungalow bungalow i...,"KSh 6,700,000"
3 Bed House with En Suite in Utawala,Utawala,Tamarind Valley Maisonette,"KSh 9,000,000"
4 Bed House with Garden in Nyali Area,"Nyali Area, Nyali",4 Bedroom Townhouse for Sale in Nyali - 3KE1619...,"KSh 55,000,000"
4 Bed House with En Suite in Nyali Area,"Bandari Estate., Nyali Area, Nyali","GORGEOUS, CONTEMPORARY AND SIZABLE 4 BEDROOM MA...","KSh 20,500,000"
3 Bed House with En Suite in Kitengela,Kitengela,"3 BEDROOMS BUNGALOW, KITENGELA.","KSh 6,500,000"
4 Bed House with Garden in Syokimau,Syokimau,4 BEDROOM VILLAS IN SYOKIMAU,"KSh 15,500,000"
5 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands",5 Bedroom luxury villa for sale in Kitisuru,"KSh 100,000,000"
4 Bed House with Garden in Kitengela,Kitengela,4 bedrooms bungalow with 3 ensuite for sale in...,"KSh 5,800,000"
4 Bed Villa with En Suite in Kiambu Town,Kiambu Town,4 BEDROOM BUNGALOW FOR SALE KIAMBU,"KSh 28,500,000"
3 Bed House with Garden in Kiserian,Kiserian,3 BEDROOMS BUNGALOW IN KISERIAN.,"KSh 6,700,000"
4 Bed Townhouse with En Suite in Karen,Karen,Magnificent 4 bedroom+ dsq in Karen,"KSh 65,000,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Less Crowded RealEstate! Five Bedroom All-ensui...,"KSh 100,000,000"
4 Bed House with En Suite at Kangundo Road,"Kangundo road, Kamulu, Kamulu Joska Malaa",Modern and Serene 3 Bedroom Bungalows with a de...,"KSh 7,700,000"
3 Bed House with En Suite at Acacia,"Acacia, Kitengela",3 bedroom bungalow for sale in kitengela,"KSh 6,200,000"
3 Bed House with En Suite in Kitengela,Kitengela,3 BEDROOM BUNGALOW FOR SALE IN KITENGELA,"KSh 6,400,000"
5 Bed House with En Suite at Runda,"Runda, Westlands",Runda stunning Brand new 5 bedroom house sits 0...,"KSh 230,000,000"
3 Bed House with En Suite in Vipingo,Vipingo,AWALI ESTATE PHASE 2 - BUNGALOW,"KSh 14,800,000"
4 Bed House with Garden at Ngong,"Ngong - Matasia road, Ngong",Newly built 4 bedrooms house for sale in Ngong....,"KSh 7,400,000"
4 Bed House with En Suite at Epz,"EPZ, Kitengela",4 Bedroom mansion for sale in EPZ Estate,"KSh 10,500,000"
4 Bed Townhouse with En Suite at School Lane,"School Lane, Westlands Area, Westlands",4 Bedroom Townhouse for Sale along Prime School...,"KSh 50,000,000"
3 Bed House with Garden in Buruburu,Buruburu,3 Bedroom Massionate House For Sale at Buruburu...,"KSh 11,300,000"
4 Bed Townhouse with En Suite in Ruiru,Ruiru,Contemporary Flatroof Villa-Kamiti RD,"KSh 18,500,000"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,5 bedroom house for sale in Kiambu Road (Kenya)...,"KSh 65,000,000"
4 Bed House with En Suite at Lavington,Lavington,Lavington 4 bedroom house for sale,"KSh 52,000,000"
3 Bed Townhouse with En Suite at Greenwood Mtwapa,"Greenwood Mtwapa, Mtwapa",MTWAPA LUXURY 3 BEDROOM TOWNHOUSE PHASE 2,"KSh 7,500,000"
4 Bed Townhouse with Garden in Lavington,Lavington,An Exquisite 4Bedroom Townhouse for Sale in Lav...,"KSh 85,000,000"
5 Bed House in Riverside,"Riverside, Westlands",Luxurious 5 Bedroom Penthouse For Sale In River...,"KSh 75,000,000"
3 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Homely and Serene 3 Bedroom Maisonette for sale...,"KSh 26,000,000"
4 Bed House with Garden in Langata,Langata,4 bedroom house for sale in Mbagathi,"KSh 39,500,000"
5 Bed Villa with En Suite in Lavington,Lavington,5bedroom Villas for sale in Lavington,"KSh 100,000,000"
4 Bed Villa with En Suite at Kibiku,"Kibiku, Ngong",Mirabelle Villas,"KSh 42,000,000"
4 Bed House with En Suite at Nyali,"Nyali, Nyali Area",4 bedroom own compound on sale in shared estate...,"KSh 45,000,000"
3 Bed House with En Suite in Kiambu Town,Kiambu Town,3-BEDROOMS MASIONETTE,"KSh 27,000,000"
5 Bed House with En Suite in Membley,"Membley, Ruiru",Luxurious 4 bedrooms all en-suite maisonette wi...,"KSh 23,000,000"
4 Bed Townhouse with En Suite at Lavington,"lavington, Lavington",Remarkable 4 Bedroom property for Sale in Lavin...,"KSh 185,000,000"
5 Bed House with En Suite in Lavington,Lavington,A Gorgeous 5 Bedroom House For Sale,"KSh 65,000,000"
3 Bed Townhouse with En Suite at Kenpipe Gardens,"Kenpipe Gardens, Kitengela",3 Bedroom Maisonette Plus DSQ (Ksh 10 Million...,"KSh 10,000,000"
5 Bed House with Garden at Mbagathi Ridge,"Mbagathi Ridge, Karen",5 bedroom house for sale on Mbagathi Ridge,Price not communicated
4 Bed House with En Suite in Ukunda,Ukunda,"FOR SALE 4 BEDROOMS BUNGALOW - DIANI, UKUNDA","KSh 36,000,000"
4 Bed House with En Suite in Nyali Area,"Nyali, Nyali Area",4 bedroom own compound mansion in gated estate...,"KSh 90,000,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",BEAUTIFUL 4 BEDROOM OWN COMPOUND HOUSE TOUCHING...,"KSh 130,000,000"
4 Bed House with Swimming Pool in Nyali Area,"Nyali Area, Nyali",EXCLUSIVE BRAND NEW 4 BEDROOM MAISONETTE FOR SA...,"KSh 80,000,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",EXECUTIVE 4 BEDROOMS MASSIONATES For Sale in Ny...,"KSh 90,000,000"
4 Bed House with En Suite in Kiambu Road,Kiambu Road,PREMIUM 4 BEDROOMS VILLA IN KIAMBU ROAD.,"KSh 50,950,000"
5 Bed Villa with En Suite in Lavington,Lavington,5 Bed Townhouse with Garage in Lavington,"KSh 52,000,000"
4 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",CAPACIOUS 4 BEDROOM OWN COMPOUND HOUSE IN A GAT...,"KSh 70,000,000"
4 Bed Townhouse with En Suite at Varsityville,"Varsityville, Kamakis, Ruiru","4 Bedroom Townhouse in Kamakis,Ruiru","KSh 22,500,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Modern and Brand New 4 Bedrooms all ensuite plu...,"KSh 68,000,000"
4 Bed House with En Suite in Runda,"Runda, Westlands",DISTRESS SALE: Spacious 4 Bedroom House on 1/4...,"KSh 46,000,000"
4 Bed House with Garden at Nairobi,"Kigwa Ridge, Nairobi, Ridgeways","4 bed, Kigwa Ridge, Nairobi","KSh 125,000,000"
5 Bed House with En Suite at Eliudmathu Streets,"11155, EliudMathu Streets, Runda, Westlands",Find tranquility in this luxurious 5 bedroom sm...,"KSh 300,000,000"
3 Bed House with En Suite in Nyali Area,"Nyali Area, Nyali",3 BEDROOMS BUNGALOW NYALI FOR SALE,"KSh 100,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,Prime 5 Bedroom Town House for Sale at Lavingto...,"KSh 85,000,000"
3 Bed House in Buruburu,Buruburu,3 bedroom maisonette with DSQ for sale at Ksh 1...,"KSh 12,500,000"
3 Bed House with En Suite in Kamangu,Kamangu,Incomplete 3 Bedroom Bungalow For Sale In Kikuy...,"KSh 6,500,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,A Magnificent 5Bedrooms with sq Townhouse for s...,"KSh 55,000,000"
3 Bed House with En Suite in Ngong,Ngong,"Cozy 3 bedroom houses for sale, ideal for famil...","KSh 7,900,000"
4 Bed House with En Suite at Kenyatta Road,Kenyatta Road,MODERN BUNGALOWS ON SALE IN KENYATTA ROAD,"KSh 10,500,000"
3 Bed Townhouse with En Suite at Kamakis,"Kamakis, Ruiru",Quick Sale 3 Bedroom plus sq and a store Kamaki...,"KSh 10,000,000"
4 Bed House with En Suite at Fair Acre Road,"Fair acre road, Karen",4 bedrooms maisonette on half acre off Fair acr...,"KSh 65,000,000"
5 Bed Villa in Kilifi,Kilifi,"5 Bedroom Villa, 2 Villas In A Creek Side Compo...","KSh 150,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,Modern and Brand New 4 Bedrooms ensuite plus Ds...,"KSh 68,000,000"
6 Bed Townhouse with En Suite in Lavington,Lavington,Luxurious 6Bedroom Villa for Sale in Lavington,"KSh 121,000,000"
3 Bed Villa with En Suite at Bungalows,"Bungalows, Kitengela",3 bedroom bungalows for sale in Kitengela,"KSh 5,850,000"
4 Bed House in Kitisuru,"Kitisuru, Westlands",4 Bedroom Modern House with Excellent finishes...,"KSh 400,000,000"
4 Bed House with En Suite at Hardy,"Hardy, Karen",House for sale in Karen,"KSh 95,000,000"
4 Bed House with En Suite in Syokimau,Syokimau,4 BEDROOMS MAISONETTE,"KSh 11,500,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Brand New Spectacular 5 Bedroomed Ambassadorial...,"KSh 235,000,000"
5 Bed House with En Suite in Watamu,Watamu,For sale!!! 5 bedroom sea view villa on 1 acre...,"KSh 90,000,000"
5 Bed House with En Suite in Lavington,Lavington,5 bedroom house for sale in Lavington (Kenya) 3...,"KSh 60,000,000"
3 Bed House with En Suite at Mombasa Road,"A104, Mombasa Road, Athi River","3bdrm + SQ Maisonette in Greenpark, Athi River...","KSh 14,500,000"
4 Bed Townhouse in Lavington,Lavington,"4 BEDROOM TOWNHOUSE, ALL ENSUITE FOR SALE IN LA...","KSh 65,000,000"
4 Bed House with En Suite in Ruiru,Ruiru,"4 BEDROOMS VILLA, KAMAKIS RUIRU.","KSh 21,000,000"
5 Bed House with En Suite in Lavington,Lavington,5 Bedroom house for Sale in Lavington.,"KSh 80,000,000"
4 Bed Townhouse in Ruiru,Ruiru,4 Bedroom Townhouses for Sale in Ruiru.,"KSh 16,000,000"
6 Bed House with Swimming Pool in Diani,Diani,For sale at Diani South coast,"KSh 150,000,000"
4 Bed House with En Suite at Naivas Bamburi,"Naivas Bamburi, Bamburi",NAIVAS BAMBURI 4 BEDROOM MASIONETTE FOR SALE,"KSh 12,000,000"
5 Bed House with En Suite at Nyali,"Nyali, Nyali Area",5 bedroom villa on sale in a shared compound wi...,"KSh 35,000,000"
4 Bed Villa with En Suite at Riviera,"Riviera, Runda, Westlands",4 BEDROOM VILLA WITH A GUEST HOUSE FOR SALE IN...,"KSh 70,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 Bedroom Townhouse for sale in Lavighton,"KSh 60,000,000"
4 Bed House in Rhapta Road,"Rhapta Road, Westlands",4 Bedroom Family House For Sale with Beautiful...,"KSh 38,000,000"
1 Bed House with Swimming Pool at Sultan Palace,"Sultan Palace, Kikambala",1 Bedroom House for sale,"KSh 11,000,000"
4 Bed House with En Suite at Runda Riviera,"Runda Riviera, Runda, Westlands",Beautiful Four bedroom House,"KSh 70,000,000"
3 Bed Townhouse at 2Nd Parklands,"2nd Parklands, Parklands, Westlands",3 Bedroom House with private terrace for sale b...,"KSh 18,000,000"
4 Bed Townhouse with En Suite in Loresho,"Loresho, Westlands",Exquisite all ensuite 4 bedroom villa in loresh...,"KSh 38,000,000"
3 Bed Townhouse with En Suite in Isinya,Isinya,Isinya Development for sale,"KSh 30,000,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,3 BEDROOMS BUNGALOW IN RONGAI.,"KSh 6,500,000"
3 Bed Townhouse with En Suite at Mtwapa,"mtwapa, Mombasa CBD, Mombasa Island","3 bedroom modern townhouse on sale, Mtwapa Momb...","KSh 8,500,000"
5 Bed House with En Suite at Syokimau,"Syokimau, Mombasa Road",Beautiful Houses In A Gated Community,"KSh 15,500,000"
4 Bed Villa with En Suite at Galu Beach,"Galu Beach, Diani","Kaya-4 bedroom Villas. Fully furnished, service...","KSh 65,000,000"
3 Bed Villa with En Suite in Diani,Diani,3 Bedroom Villas Plus SQ All Ensuite in Diani,"KSh 6,950,000"
4 Bed Villa with En Suite in Lavington,Lavington,Lavington Maisonette,"KSh 46,750,000"
4 Bed Townhouse with En Suite in Kileleshwa,Kileleshwa,4 bedroom house for sale in Kileleshwa - 3KE154...,"KSh 34,000,000"
5 Bed House with En Suite in Loresho,"Loresho, Westlands",The Haven - Luxury 5 Bedroom Homes For Sale In...,"KSh 108,500,000"
3 Bed Townhouse with En Suite at Four Ways,"Four Ways, Kiambu Road",Fourways junction 3 bedroom plus for sale.,"KSh 26,000,000"
7 Bed House with En Suite in Thigiri,"Thigiri, Westlands",7 BEDROOM LUXURIOUS HOME FOR SALE IN THIGIRI,"KSh 225,000,000"
5 Bed House with En Suite at Old Muthaiga,"Old Muthaiga, Muthaiga",Top notch 5 bedroom house for sale in old Mutha...,"KSh 280,000,000"
3 Bed Villa with En Suite at Posta,"Mtwapa, Posta",3 Bedroom villa on sale at Mtwapa posta,"KSh 18,500,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Semi finished 7 Bedroom House for Sale in Runda,"KSh 85,000,000"
4 Bed Villa with En Suite in Ngong,Ngong,4-BEDROOM MASIONETTES,"KSh 14,500,000"
5 Bed Townhouse with En Suite in Westlands Area,"Westlands Area, Westlands","Westlands, Lantana Road, Townhouse – FOR SALE","KSh 45,000,000"
4 Bed Townhouse with En Suite at Lavington Green,"Lavington Green, Lavington",Stunning secure 4 bedroom townhouse plus TV are...,"KSh 36,000,000"
5 Bed Villa with En Suite in Nyali Area,"Nyali Area, Nyali",5 Bedroom Villa BAMBURI BEACH,"KSh 240,000,000"
4 Bed House with En Suite in Juja,Juja,4-BEDROOM MAISONETTES,"KSh 14,500,000"
3 Bed House in Ngong Road,Ngong Road,Mwaka Estate Maisonette,"KSh 14,500,000"
3 Bed Townhouse in Embakasi,Embakasi,3 bedroom house for sale in Embakasi (Kenya) 3K...,"KSh 12,600,000"
6 Bed House with En Suite at Kitisuru 44,"45, Kitisuru 44, Kitisuru, Westlands",Kitisuru Road 6 bedroom double storey house set...,"KSh 120,000,000"
3 Bed House with En Suite at Kangundo Road,"Kangundo Road, Joska, Kamulu Joska Malaa",White Park Phase 2 Estate,"KSh 8,150,000"
4 Bed Townhouse with En Suite at Kiambu Road,Kiambu Road,Lovely Four bedroom Townhouse,"KSh 38,000,000"
3 Bed Villa with En Suite at Vipingo Ridge,"Vipingo Ridge, Vipingo",Vipingo Ridge Villa on sale,"KSh 85,000,000"
3 Bed Townhouse with En Suite at Sahara Ridge Estate,"Sahara Ridge estate, Ruiru",3 bedroom+ Dsq Townhouse,"KSh 15,000,000"
4 Bed House with En Suite in Kileleshwa,Kileleshwa,4 Bedroom 3 Ensuite House for sale at Ksh30M in...,"KSh 30,000,000"
3 Bed House with En Suite in Kitengela,Kitengela,3 BEDROOMS BUNGALOW IN KITENGELA.,"KSh 6,500,000"
4 Bed Villa with En Suite at Off Thigiri Ridge Road,"4, Off Thigiri ridge road, Thigiri, Westlands",A Stunning 4 Bedrooms Spanish villa for sale in...,"KSh 120,000,000"
4 Bed Villa with En Suite at Lower Kabete Road,"Non, Lower Kabete Road, Lower Kabete, Westlands",Four bedroom all ensuite Villa,"KSh 150,000,000"
4 Bed Townhouse with En Suite in Lavington,Lavington,4 BEDROOM TOWNHOUSE FOR SALE IN LAVINGTON AT KE...,"KSh 68,000,000"
4 Bed House with En Suite at Off Church Road,"Nairobi, Off Church Road, Westlands Area, Westlands","4 Bedroom House For Sale Off Church Road, Westl...","KSh 31,000,000"
4 Bed Townhouse with En Suite at Off Mombasa Road,"Off Mombasa Road, Syokimau",Luxurious 4 Bedroom Plus Dsq Townhouses,"KSh 19,500,000"
4 Bed Townhouse with En Suite in Karen,Karen,4 Bedroom Townhouse for Sale in Karen,"KSh 75,000,000"
5 Bed House with En Suite at Alozi Estate Rd,"Alozi estate Rd, Garden Estate, Roysambu","5 bedroom all ensuite in Garden estate, Nairobi...","KSh 56,000,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,"3-BEDROOMS BUNGALOW,RIMPA","KSh 6,800,000"
4 Bed Villa with En Suite at Lavington Green,"Lavington Green, Lavington",Stunning secure 4 bedroom corner townhouse plus...,"KSh 60,000,000"
1 Bed House with Swimming Pool in Athi River,Athi River,Fadhili Retirement Village - A retirement oasis...,"KSh 9,980,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",5 bedroom house for sale in runda,"KSh 110,000,000"
4 Bed Townhouse with En Suite at Kikuyu,"KIKUYU, Embakasi",4 BEDROOM TOWNHOUSE IN KIKUYU-GIKAMBURA,"KSh 12,000,000"
4 Bed Townhouse with En Suite at Near Gateway Mall,"Airport rd, Near Gateway Mall, Syokimau",Homely 4 Bedroom Townhouse For Sale near Gatewa...,"KSh 12,800,000"
4 Bed House with En Suite in Spring Valley,"Spring Valley, Westlands",4 bedroom For Sale in Spring Valley Estate,"KSh 85,000,000"
6 Bed House with En Suite in Runda,"Runda, Westlands",LESS CROWDED REALESTATE!!LOVELY SIX BEDROOM HOU...,"KSh 80,000,000"
2 Bed House in South C,South C,Stunning Furnished Modern 2 Bedroom Penthouse,"KSh 55,000,000"
3 Bed Townhouse at Impala Road,"Impala Road, Nyali Area, Nyali",Three bedroom maisonette For Sale,"KSh 16,000,000"
3 Bed House with En Suite at Gatundu Road,"Gatundu Road, Kenyatta Road",BUNGALOWS FOR SALE,"KSh 7,500,000"
4 Bed Townhouse with En Suite in Kiambu Town,Kiambu Town,4-BEDROOMS TOWNHOUSES.,"KSh 60,000,000"
4 Bed House with En Suite at Acacia,"ACACIA, Kitengela",4 bedroom bungalow for sale in kitengela,"KSh 6,250,000"
3 Bed Villa with En Suite in Kilifi,Kilifi,3 BEDROOM VILLA FOR SALE IN KILIFI,"KSh 29,500,000"
5 Bed House with En Suite in Membley,"Membley, Ruiru",5 bedroom maisonette for sale in Ruiru,"KSh 20,000,000"
4 Bed Townhouse with En Suite in Eastern ByPass,"Eastern ByPass, Ruiru",New 4 Bedrooms Townhouses + DSQ,"KSh 12,600,000"
5 Bed House with En Suite in Rosslyn,"Rosslyn, Westlands",Stunning 5 Bedroom House + 2 DSQs for sale Ross...,"KSh 86,000,000"
4 Bed House with Garden at Caren Gardens,"Caren Gardens, Juja",4 Bedroom All en-suite house for Sale in Juja S...,"KSh 14,000,000"
4 Bed Townhouse with En Suite at Thindigua,Thindigua,4 bedroom plus sq Town House for sale Thindigua...,"KSh 22,500,000"
4 Bed Townhouse with En Suite at Parkwood Villas,"Parkwood Villas, Syokimau",4 bedroom all ensuuite townhouses for sale at P...,"KSh 18,000,000"
4 Bed Townhouse with En Suite in Nyali Area,"Nyali Area, Nyali",MODERN STYLED 4 BEDROOM VILLAS FOR SALE IN NYAL...,"KSh 40,500,000"
4 Bed House with En Suite at Near The Bypass Junction,"Near the Bypass Junction, Kiambu Road",4BEDROOM HOUSE FOR SALE IN A GATED ESTATE ALONG...,"KSh 36,000,000"
4 Bed Townhouse with En Suite at Dennis Pritt,"Dennis Pritt, Kilimani",Stunning secure 4 bedrooms villas plus study an...,"KSh 35,800,000"
4 Bed House in Kasarani,Kasarani,A Well Maintained 4 Bedroom House With Guest Wi...,"KSh 70,000,000"
4 Bed Villa with En Suite in Syokimau,Syokimau,Four Bedroom Villa with DSQ,"KSh 18,500,000"
4 Bed House with En Suite at Limuru Road,"River Edge Estate, limuru road, Redhill",4 Bedroom House with DSQ for Sale in Redhill Li...,"KSh 35,500,000"
5 Bed House with En Suite in Kitengela,Kitengela,5 Bedrooms House for sale in Kitengela Milimani...,"KSh 20,000,000"
5 Bed Villa with En Suite in Runda,"Runda, Westlands",Elegant 5 Bedroom Villa For Sale in Runda,Price not communicated
5 Bed Villa in Kizingo,"Kizingo, Mombasa Island",Prime property for sale,"KSh 150,000,000"
3 Bed House with En Suite in Ongata Rongai,Ongata Rongai,"3 Bedrooms Bungalow at Nkoroi, Rongai.","KSh 7,500,000"
6 Bed House with En Suite at Kenyatta Road,Kenyatta Road,MAGNIFICENT MAISONETTE FOR SALE,"KSh 38,000,000"
3 Bed Townhouse at Kiambu Road,"kiambu road, Kiambu Road",THREE BEDROOM APARTMENT WITH A SERVANT QUARTER,"KSh 6,000,000"
4 Bed Townhouse with En Suite in Kitengela,Kitengela,Kitengela EPZ Townhouses,"KSh 18,500,000"
3 Bed House with En Suite in Kitengela,Kitengela,"3 BEDROOMS BUNGALOW, KITENGELA.","KSh 6,200,000"
5 Bed House with En Suite in Westlands Area,"Westlands Area, Westlands",House for Sale in Westlands- Lantana Road,"KSh 60,000,000"
5 Bed House with En Suite in Runda,"Runda, Westlands",Runda Grove House,"KSh 150,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 BEDROOMS,"KSh 48,000,000"
5 Bed House with En Suite at Duom Palm Street,"Duom Palm Street, Runda, Westlands",5 Bedroom all en-suite,"KSh 100,000,000"
6 Bed Villa with En Suite at Lower Kabete,"65, Lower kabete, Lower Kabete, Westlands",This brand new home is located along Lower Kabe...,"KSh 250,000,000"
3 Bed House with En Suite at Mtwapa Creekside,"Creekside, Mtwapa creekside, Mtwapa",3 Bedroom Bungalow on 1.5 acre land on sale at...,"KSh 17,000,000"
