title,location,size,selling price
5 Bed Villa with En Suite at Oloolua,"Ololua, Oloolua, Ngong","Amazing three, four and five bedrooms Villas on...","KSh 16,500,000"
3 Bed House with En Suite in Kiambu Road,Kiambu Road,Kiambu Road Villas,"KSh 32,250,000"
4 Bed House with En Suite in Ruiru,Ruiru,4Bedroom House For Sale In Ruiru,"KSh 20,000,000"
4 Bed Villa with En Suite at Ngecha Road,"Ngecha Road, Kitisuru, Westlands",KITISURU-4 BEDROOM ALL ENSUITE HOUSE PLUS DSQ O...,"KSh 65,000,000"
4 Bed House in Westlands Area,"Westlands Area, Westlands",4 Bedroom House For Sale In A Gated Community O...,"KSh 39,000,000"
3 Bed House with En Suite in Ruiru,Ruiru,3 Bedrooms All Ensuite Bungalows with DSQ Optio...,"KSh 9,500,000"
4 Bed House in Langata,Langata,4 bedroom townhouse available for sale in Langa...,"KSh 15,000,000"
4 Bed House with En Suite at Broadway,"Mtwapa, Broadway",4 Bedroom own compound on sale at Mtwapa,"KSh 16,500,000"
3 Bed Townhouse in Ngumo Estate,Ngumo Estate,3 Bedroom Townhouse for sale in Ngumo Estate,"KSh 16,000,000"
3 Bed Townhouse with En Suite in Mombasa Island,Mombasa Island,3br townhouse for sale in Bombolulu. (HS54),"KSh 28,000,000"
4 Bed Villa with En Suite at Jcc Church,"JCC Church, Bamburi",FOR SALE || BAMBURI PALM VILLA || 4 BEDROOM ||E...,"KSh 8,950,000"
4 Bed Villa with En Suite in Mtwapa,Mtwapa,"1acre Mtwapa creek, 5 Bedroom en-suite Vila.","KSh 85,000,000"
5 Bed Townhouse with En Suite in Lavington,Lavington,5 Bedroom ALL ensuite Townhouse + DSQ,"KSh 50,600,000"
6 Bed House with En Suite at Kenyatta Road,"Kenyatta Road, Nyali Area, Nyali","6 bedroom house for sale in Nyali, Mombasa.","KSh 150,000,000"
4 Bed House in Kilimani,Kilimani,4 bedroom house for sale in Kilimani,"KSh 55,000,000"
4 Bed House in Mtwapa,Mtwapa,"4 Brm Creek View Mansion On Sale, Mtwapa","KSh 75,000,000"
4 Bed Townhouse with En Suite in Kiambu Road,Kiambu Road,Homely and Serene 4 Bedroom Townhouse for sale...,"KSh 28,000,000"
5 Bed House with En Suite at Kenyatta Road,Kenyatta Road,5 Bedroom Modern and Brand New Mansion at Kenya...,"KSh 38,000,000"
5 Bed House with En Suite in Kiambu Road,Kiambu Road,LUXURY 5 BEDROOMS VILLA IN KIAMBU ROAD.,"KSh 70,250,000"
4 Bed House with En Suite in Vipingo,Vipingo,Amazing 4 bedroom home located in the prestigio...,"KSh 140,000,000"
4 Bed House with En Suite in Malindi,Malindi,4 Bedroom Beach Villa in Malindi(+2 free standi...,"KSh 85,000,000"
3 Bed House with En Suite in Ruiru,Ruiru,3 Bedrooms All Ensuite Bungalows with DSQ Optio...,"KSh 9,500,000"
5 Bed Townhouse with En Suite in Kikuyu Town,"Kikuyu Town, Kikuyu",4 Bedroom Mansionette + DSQ for sale,"KSh 19,000,000"
6 Bed Villa with En Suite in Runda,"Runda, Westlands",Palatial 6 bedrooms villas for sale,"KSh 155,000,000"
3 Bed Villa with En Suite at Sunpark,"Lamalindina, Sunpark, Malindi","Malindi sunpark,3 Bedroom villa on sale","KSh 20,000,000"
4 Bed Villa with En Suite in Malindi,Malindi,FOR SALE 4 BEDROOMS BEACH VILLAS - MALINDI,"KSh 20,000,000"
6 Bed House with En Suite at Karen,Karen,6 BEDROOM HOUSE FOR SALE IN KAREN NAIROBI KENYA,"KSh 180,000,000"
